file,duration,width,height,ocr_flags
evidence/recordings/als_association__home.mp4,10.000,1280,800,
evidence/recordings/als_association__key.mp4,10.000,1280,800,
evidence/recordings/amazon__home.mp4,10.000,1280,800,
evidence/recordings/amazon__key.mp4,10.000,1280,800,
evidence/recordings/american_cancer_society__home.mp4,10.000,1280,800,
evidence/recordings/american_cancer_society__key.mp4,10.000,1280,800,
evidence/recordings/american_heart_association__home.mp4,10.000,1280,800,
evidence/recordings/american_heart_association__key.mp4,10.000,1280,800,
evidence/recordings/american_lung_association__home.mp4,10.000,1280,800,
evidence/recordings/american_lung_association__key.mp4,10.000,1280,800,
evidence/recordings/american_red_cross__home.mp4,10.000,1280,800,
evidence/recordings/american_red_cross__key.mp4,10.000,1280,800,
evidence/recordings/apple__home.mp4,10.000,1280,800,
evidence/recordings/apple__key.mp4,10.000,1280,800,
evidence/recordings/cdc__home.mp4,10.000,1280,800,
evidence/recordings/cdc__key.mp4,10.000,1280,800,
evidence/recordings/cleveland_clinic__home.mp4,10.000,1280,800,
evidence/recordings/cleveland_clinic__key.mp4,10.000,1280,800,
evidence/recordings/coca_cola_us__home.mp4,10.000,1280,800,
evidence/recordings/coca_cola_us__key.mp4,10.000,1280,800,
evidence/recordings/cvs__home.mp4,10.000,1280,800,
evidence/recordings/cvs__key.mp4,10.000,1280,800,
evidence/recordings/disney__home.mp4,10.000,1280,800,
evidence/recordings/disney__key.mp4,10.000,1280,800,
evidence/recordings/make_a_wish__home.mp4,10.000,1280,800,
evidence/recordings/make_a_wish__key.mp4,10.000,1280,800,
evidence/recordings/mayo_clinic__home.mp4,10.000,1280,800,
evidence/recordings/mayo_clinic__key.mp4,10.000,1280,800,
evidence/recordings/mcdonalds_us__home.mp4,10.000,1280,800,
evidence/recordings/mcdonalds_us__key.mp4,10.000,1280,800,
evidence/recordings/rei__home.mp4,10.000,1280,800,
evidence/recordings/rei__key.mp4,10.000,1280,800,
evidence/recordings/st_jude__home.mp4,10.000,1280,800,
evidence/recordings/st_jude__key.mp4,10.000,1280,800,
evidence/recordings/starbucks__home.mp4,10.000,1280,800,
evidence/recordings/starbucks__key.mp4,10.000,1280,800,
evidence/recordings/target__home.mp4,10.000,1280,800,
evidence/recordings/target__key.mp4,10.000,1280,800,
evidence/recordings/walmart__home.mp4,10.000,1280,800,
evidence/recordings/walmart__key.mp4,10.000,1280,800,
