brand,slug,category,homepage_url,logo_file,warmth_score,clinical_utility_score,filter_group,scoring_note
American Cancer Society,american_cancer_society,disease_nonprofit,https://www.cancer.org/,reference/evidence/logos/aha-space-competitors-us-2026-04/american_cancer_society.png,7.4,5.9,warm_leaders,Community photography and donation framing make the homepage feel emotionally open before it feels clinical
American Red Cross,american_red_cross,mission_nonprofit,https://www.redcross.org/,reference/evidence/logos/aha-space-competitors-us-2026-04/american_red_cross.png,5.6,6.0,balanced_middle,Utility and emergency action are strong but the tone is more service-driven than overtly clinical or warm
St. Jude Children's Research Hospital,st_jude,disease_nonprofit,https://www.stjude.org/,reference/evidence/logos/aha-space-competitors-us-2026-04/st_jude.png,8.8,4.8,warm_leaders,The homepage leads with feeling and donor empathy more than practical clinical navigation
Mayo Clinic,mayo_clinic,health_system,https://www.mayoclinic.org/,reference/evidence/logos/aha-space-competitors-us-2026-04/mayo_clinic.png,3.2,9.4,clinical_leaders,This is the clearest high-authority clinical reference in the set
Cleveland Clinic,cleveland_clinic,health_system,https://my.clevelandclinic.org/,reference/evidence/logos/aha-space-competitors-us-2026-04/cleveland_clinic.png,4.2,8.7,clinical_leaders,The homepage feels human enough but still leads with healthcare system utility and trust
Alzheimer's Association,alzheimers_association,disease_nonprofit,https://www.alz.org/,reference/evidence/logos/aha-space-competitors-us-2026-04/alzheimers_association.png,5.5,6.1,balanced_middle,The page mixes urgent fundraising language with practical support content without fully leaning into either pole
Breakthrough T1D,breakthrough_t1d,disease_nonprofit,https://www.breakthrought1d.org/,reference/evidence/logos/aha-space-competitors-us-2026-04/breakthrough_t1d.png,6.8,5.5,balanced_middle,The tone is optimistic and contemporary with moderate utility signals rather than heavy clinical cues
American Diabetes Association,american_diabetes_association,disease_nonprofit,https://diabetes.org/,reference/evidence/logos/aha-space-competitors-us-2026-04/american_diabetes_association.png,5.7,7.4,clinical_leaders,Task paths and condition support are prominent enough to pull this upward on utility
American Lung Association,american_lung_association,disease_nonprofit,https://www.lung.org/,reference/evidence/logos/aha-space-competitors-us-2026-04/american_lung_association.png,4.9,7.8,clinical_leaders,Structured disease framing and blue system language make it feel more clinical than warm
Susan G. Komen,susan_g_komen,disease_nonprofit,https://www.komen.org/,reference/evidence/logos/aha-space-competitors-us-2026-04/susan_g_komen.png,7.7,4.3,warm_leaders,The page is campaign-led and emotive with lower first-fold utility density
