brand,slug,homepage_url,category,region,country,selection_basis
American Cancer Society,american_cancer_society,https://www.cancer.org/,disease_nonprofit,us,United States,Large national disease nonprofit with broad education advocacy and fundraising overlap
American Red Cross,american_red_cross,https://www.redcross.org/,mission_nonprofit,us,United States,National trust and donation competitor with strong public-service positioning
St. Jude Children's Research Hospital,st_jude,https://www.stjude.org/,disease_nonprofit,us,United States,Top-tier health fundraising brand with strong emotional storytelling and donor conversion
Mayo Clinic,mayo_clinic,https://www.mayoclinic.org/,health_system,us,United States,Major authority competitor for consumer health guidance and trust
Cleveland Clinic,cleveland_clinic,https://my.clevelandclinic.org/,health_system,us,United States,Major authority competitor for condition education and utility-led navigation
Alzheimer's Association,alzheimers_association,https://www.alz.org/,disease_nonprofit,us,United States,Large national education support and advocacy nonprofit with strong condition-library overlap
Breakthrough T1D,breakthrough_t1d,https://www.breakthrought1d.org/,disease_nonprofit,us,United States,Large national disease nonprofit with research credibility and modern campaign posture
American Diabetes Association,american_diabetes_association,https://diabetes.org/,disease_nonprofit,us,United States,Large national condition nonprofit with education prevention and policy overlap
American Lung Association,american_lung_association,https://www.lung.org/,disease_nonprofit,us,United States,Large national prevention and advocacy nonprofit with adjacent public-health framing
Susan G. Komen,susan_g_komen,https://www.komen.org/,disease_nonprofit,us,United States,Large national disease nonprofit with donor familiarity and awareness-campaign scale
British Heart Foundation,british_heart_foundation,https://www.bhf.org.uk/,heart_charity,international,United Kingdom,Most visible heart charity benchmark in the UK with strong public education and retail-fundraising presence
Heart and Stroke Foundation of Canada,heart_and_stroke_canada,https://www.heartandstroke.ca/,heart_charity,international,Canada,National heart and stroke charity with strong prevention and public-resource posture
National Heart Foundation of Australia,heart_foundation_australia,https://www.heartfoundation.org.au/,heart_charity,international,Australia,Major heart-health charity benchmark with prevention and research authority
Heart Foundation NZ,heart_foundation_nz,https://www.heartfoundation.org.nz/,heart_charity,international,New Zealand,National heart charity with a notably human public-facing content posture
Irish Heart Foundation,irish_heart_foundation,https://irishheart.ie/,heart_charity,international,Ireland,National heart and stroke charity with strong support and advocacy framing
Deutsche Herzstiftung,deutsche_herzstiftung,https://herzstiftung.de/,heart_charity,international,Germany,Large nonprofit heart foundation with patient-information authority in Germany
Heart Research UK,heart_research_uk,https://heartresearch.org.uk/,heart_charity,international,United Kingdom,Smaller UK heart brand with community-health and research blend
Heart Research Australia,heart_research_australia,https://heartresearch.com.au/,heart_charity,international,Australia,Smaller Australian heart research charity with a lighter public-facing brand system
Singapore Heart Foundation,singapore_heart_foundation,https://www.myheart.org.sg/,heart_charity,international,Singapore,Established Asian heart charity with public-health education and course-based utility
Heart and Stroke Foundation South Africa,heart_and_stroke_south_africa,https://www.heartfoundation.co.za/,heart_charity,international,South Africa,Regional heart and stroke charity with practical public-health communication
